seed,q,tau,gray_margin,gray_ratio_val,entropy_threshold,discrepancy_threshold
0,0.2,0.44000000000000006,0.18600181402042648,0.10943934114665822,0.830675799550928,1.0
1,0.2,0.4200000000000001,0.1702522334891174,0.1115774469433006,0.8246353011585789,1.0
2,0.2,0.4200000000000001,0.16336964698087547,0.10286664554957238,0.8222620845009118,1.0
3,0.2,0.4200000000000001,0.1674021434211688,0.10801393728222997,0.8045503878784305,1.0
4,0.2,0.39000000000000007,0.1385312768100812,0.10643015521064302,0.7990088616349428,1.0
5,0.2,0.4700000000000001,0.21432114959577767,0.10658853341780171,0.9103938380286576,1.0
6,0.2,0.4600000000000001,0.19508123421766368,0.10286664554957238,0.8555346698470289,1.0
7,0.2,0.4100000000000001,0.15713777738345802,0.10516312955337345,0.8050046153234993,1.0
8,0.2,0.44000000000000006,0.18137201889019702,0.10579664238200824,0.82522162034952,1.0
9,0.2,0.4100000000000001,0.1623750153803632,0.11252771618625278,0.8044288426918041,1.0
0,0.4,0.44000000000000006,0.241235084893641,0.2243427304402914,0.7569915059291992,1.0
1,0.4,0.4200000000000001,0.22576299048721568,0.22608489071903706,0.7493459808533804,1.0
2,0.4,0.4200000000000001,0.21897218681404726,0.21293949952486538,0.7475042315918604,1.0
3,0.4,0.4200000000000001,0.2208915809891127,0.21689895470383275,0.7391430897124733,1.0
4,0.4,0.39000000000000007,0.192053120575505,0.21388976876781754,0.7384347466049694,1.0
5,0.4,0.4700000000000001,0.27065797542703535,0.21222679759265126,0.8364969637013374,1.0
6,0.4,0.4600000000000001,0.25176780820457983,0.20969274627811213,0.7720579945000207,1.0
7,0.4,0.4100000000000001,0.2097344848280539,0.21634463097877732,0.7380666244270808,1.0
8,0.4,0.44000000000000006,0.23670155254961603,0.21721571111815013,0.7477693475433065,1.0
9,0.4,0.4100000000000001,0.214045454793048,0.22133354450427623,0.7384445167128284,1.0
0,0.6,0.44,0.2698527573814011,0.3093918276845106,0.7242475678176276,1.0
1,0.6,0.4200000000000001,0.2519909026140574,0.3098669623059867,0.7192300686879677,1.0
2,0.6,0.4200000000000001,0.2475565365716707,0.2990180551156161,0.7167022069662318,1.0
3,0.6,0.4200000000000001,0.2481104415463669,0.2984637313905606,0.710427382759839,1.0
4,0.6,0.39,0.2184655325245869,0.2965631929046563,0.7106872275828523,1.0
5,0.6,0.4700000000000001,0.3023138937479597,0.2998099461514095,0.7795133101716372,1.0
6,0.6,0.4600000000000001,0.2830791628843391,0.3018688628444726,0.7377086247118894,1.0
7,0.6,0.4100000000000001,0.2371133232582888,0.2992556224263541,0.7102087901910173,1.0
8,0.6,0.44,0.2644336510908071,0.2992556224263541,0.7147265796806508,1.0
9,0.6,0.4100000000000001,0.2414059039924464,0.3059075071270193,0.7052257078531126,1.0
0,0.65,0.44,0.2756214682975663,0.328634779854292,0.7196071730444754,1.0
1,0.65,0.4200000000000001,0.2574315606248237,0.3263382958504909,0.7143965341392102,1.0
2,0.65,0.4200000000000001,0.2518976763351013,0.3150934431422236,0.7126428147922613,1.0
3,0.65,0.4200000000000001,0.2531587808425652,0.315172632245803,0.7064047633574724,1.0
4,0.65,0.39,0.2234051416196547,0.3144599303135889,0.7049665287880295,1.0
5,0.65,0.4700000000000001,0.3092793634937748,0.3197656002534051,0.7695727520362391,1.0
6,0.65,0.4600000000000001,0.2883506046149915,0.3183401963889768,0.7326414761069461,1.0
7,0.65,0.4100000000000001,0.2414369339232859,0.3159645232815964,0.7062550071877897,1.0
8,0.65,0.44,0.270236705303383,0.3189737092176116,0.7094920100767536,1.0
9,0.65,0.4100000000000001,0.2468306000038207,0.3245961355717453,0.7004543796861507,1.0
0,0.7,0.44,0.2810327024706699,0.3460563826417485,0.7146453633346594,1.0
1,0.7,0.4200000000000001,0.2637507109553059,0.3451853025023756,0.709584659189328,1.0
2,0.7,0.4200000000000001,0.2580403845070391,0.334098828001267,0.7071192456848063,1.0
3,0.7,0.4200000000000001,0.2590402570535958,0.3350490972442192,0.6999456407541418,1.0
4,0.7,0.39,0.2289722622475961,0.332277478618942,0.7012305610083255,1.0
5,0.7,0.4700000000000001,0.3145360378336864,0.3367912575229648,0.7637459134000999,1.0
6,0.7,0.4600000000000001,0.2935051927502443,0.3349699081406398,0.7268619111760998,1.0
7,0.7,0.4100000000000001,0.2467519680173932,0.334098828001267,0.6989115759549924,1.0
8,0.7,0.44,0.2749373266194837,0.3362369337979094,0.7047497519388255,1.0
9,0.7,0.4100000000000001,0.2528324507241525,0.3436015204307887,0.6954311650756188,1.0
0,0.75,0.44,0.2872293585270876,0.3647450110864745,0.7113753170517363,1.0
1,0.75,0.4200000000000001,0.2693454802166409,0.3619733924611973,0.705426786204265,1.0
2,0.75,0.4200000000000001,0.2646592945019993,0.3528666455495723,0.7020484891405178,1.0
3,0.75,0.4200000000000001,0.2644034886756971,0.3508869179600887,0.6968698957530686,1.0
4,0.75,0.39,0.2341084605654781,0.3503325942350332,0.6978650646645858,1.0
5,0.75,0.4700000000000001,0.3230069745388145,0.3558758314855876,0.7594746078150558,1.0
6,0.75,0.4600000000000001,0.2992377663496536,0.354608805828318,0.7213449062825855,1.0
7,0.75,0.4100000000000001,0.25229298915985,0.3515996198923028,0.6938629632455318,1.0
8,0.75,0.44,0.2803032931180843,0.3540544821032625,0.7014587794072922,1.0
9,0.75,0.4100000000000001,0.2578810411204459,0.3593601520430788,0.6915099623433623,1.0
0,0.8,0.44,0.295368205684715,0.3818498574596136,0.7082310439322554,1.0
1,0.8,0.4200000000000001,0.2771585705681533,0.3793158061450744,0.7018150654011139,1.0
2,0.8,0.4200000000000001,0.2698420967103909,0.3676750079189103,0.6985625508706962,1.0
3,0.8,0.4200000000000001,0.2722737225561973,0.3707633829585049,0.6930518378393788,1.0
4,0.8,0.39,0.2404173659431179,0.3679917643332277,0.6924463649383175,1.0
5,0.8,0.4700000000000001,0.3310033538837934,0.3702090592334495,0.7561111832889695,1.0
6,0.8,0.4600000000000001,0.3047519910396944,0.3708425720620842,0.7152253418341019,1.0
7,0.8,0.4100000000000001,0.2576765760303366,0.3684668989547038,0.6897276486130819,1.0
8,0.8,0.44,0.285768280728518,0.3697339246119734,0.6994774940846199,1.0
9,0.8,0.4100000000000001,0.2643092429539712,0.3746436490338929,0.6881248807896729,1.0
0,0.85,0.44,0.3084998581280969,0.3975292999683243,0.7067516076350409,1.0
1,0.85,0.4200000000000001,0.2876704743144078,0.3934114665821983,0.7003700990121636,1.0
2,0.85,0.4200000000000001,0.2772578148337343,0.3843047196705733,0.6951316371098796,1.0
3,0.85,0.4200000000000001,0.2822130944884722,0.3873930947101678,0.6906917298726577,1.0
4,0.85,0.39,0.2516978002691526,0.3870763382958505,0.6882689294582699,1.0
5,0.85,0.4700000000000001,0.3472385621947904,0.3864428254672157,0.7551209584998876,1.0
6,0.85,0.4600000000000001,0.3111123738006944,0.3890560658853342,0.709549457193647,1.0
7,0.85,0.4100000000000001,0.2636469408216676,0.3827209375989864,0.6864437616563247,1.0
8,0.85,0.44,0.2927198170849174,0.3887393094710168,0.6951700144026235,1.0
9,0.85,0.4100000000000001,0.2760477128855799,0.3915109280962939,0.6852641093028818,1.0
0,0.9,0.44,0.3614949618917823,0.4203357617991764,0.7124725145167601,1.0
1,0.9,0.4200000000000001,0.3180157930999029,0.4075863161229014,0.6992672312905637,1.0
2,0.9,0.4200000000000001,0.2898621518021693,0.3987963256255939,0.6936367697787618,1.0
3,0.9,0.4200000000000001,0.2957412304040945,0.3996674057649667,0.6903225437775258,1.0
4,0.9,0.39,0.2880853701319143,0.4040228064618308,0.6884338966822864,1.0
5,0.9,0.4700000000000001,0.3923445323977957,0.4065568577763699,0.7633073726029226,1.0
6,0.9,0.4600000000000001,0.3180484125616392,0.4046563192904656,0.7064498466440448,1.0
7,0.9,0.4100000000000001,0.2749702233168626,0.3994298384542287,0.6838325364151011,1.0
8,0.9,0.44,0.3027241503361038,0.4072695597085841,0.6922271726144213,1.0
9,0.9,0.4100000000000001,0.3017092800448741,0.4063192904656319,0.6850034377632153,1.0
