dataset,q,mode,n_seeds,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,roc_auc_mean,roc_auc_std,prr_mean,prr_std,gray_ratio_mean,gray_ratio_std,llm_call_rate_mean,llm_call_rate_std,worst_case_recall_mean,worst_case_recall_std,instability_mean,instability_std,cost_usd_mean,cost_usd_std,billed_cost_usd_mean,billed_cost_usd_std,base_latency_ms_mean,base_latency_ms_std,routing_feature_latency_ms_mean,routing_feature_latency_ms_std,routing_overhead_ms_mean,routing_overhead_ms_std,mode_wall_latency_ms_mean,mode_wall_latency_ms_std,llm_only_latency_ms_mean,llm_only_latency_ms_std,llm_only_avg_latency_ms_per_sample_mean,llm_only_avg_latency_ms_per_sample_std,billed_llm_only_latency_ms_mean,billed_llm_only_latency_ms_std,billed_llm_only_avg_latency_ms_per_sample_mean,billed_llm_only_avg_latency_ms_per_sample_std,total_latency_ms_mean,total_latency_ms_std,avg_latency_ms_per_sample_mean,avg_latency_ms_per_sample_std,prompt_tokens_mean,prompt_tokens_std,completion_tokens_mean,completion_tokens_std,total_tokens_mean,total_tokens_std,billed_prompt_tokens_mean,billed_prompt_tokens_std,billed_completion_tokens_mean,billed_completion_tokens_std,billed_total_tokens_mean,billed_total_tokens_std,llm_calls_mean,llm_calls_std,billed_llm_calls_mean,billed_llm_calls_std,cache_hits_mean,cache_hits_std,cache_hit_rate_mean,cache_hit_rate_std,uses_actual_api_usage_mean,uses_actual_api_usage_std,xgb_shortcut_rate_mean,xgb_shortcut_rate_std,shortcut_filter_rate_mean,shortcut_filter_rate_std,tau_mean,tau_std,gray_margin_mean,gray_margin_std,entropy_threshold_mean,entropy_threshold_std,discrepancy_threshold_mean,discrepancy_threshold_std,ensemble_entropy_mean_mean,ensemble_entropy_mean_std,model_discrepancy_mean_mean,model_discrepancy_mean_std
cost,0.4,full_llm,1,0.8175182481751825,0.0,0.8,0.0,0.835820895522388,0.0,0.7166666666666666,0.0,0.9590643274853802,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.10729845,0.0,0.00053745,0.0,342.7732652826001,0.0,3.5506670028553344,0.0,0.0,0.0,2848.858208002639,0.0,385369.9330380296,0.0,963.424832595074,0.0,1731.0321250042762,0.0,4.32758031251069,0.0,385716.25697031507,0.0,964.2906424257876,0.0,703051.0,0.0,3068.0,0.0,706119.0,0.0,3519.0,0.0,16.0,0.0,3535.0,0.0,400.0,0.0,2.0,0.0,398.0,0.0,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4100000000000001,0.0,0.2281822239561854,0.0,0.7564255001576456,0.0,1.0,0.0,0.49857324383366847,0.0,0.11538102539897566,0.0
cost,0.4,no_llm,10,0.843774611122711,0.008294915543698851,0.7371428571428572,0.013489729023062181,0.9867516783306488,0.009455517057917867,0.8956056547619047,0.011110376007606185,0.8760230168609894,0.011670479709585626,0.24375,0.012430361575146915,0.0,0.0,,,,,0.0,0.0,0.0,0.0,342.77326528260016,5.99182245303757e-14,3.8372624992916826,0.8975987331321084,1.8707331997575238,0.6810161306738763,1.8707331997575238,0.6810161306738763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.48126098164937,1.3418485646613887,0.8712031524541233,0.0033546214116534716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.012572014777097403,0.183,0.012572014777097403,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4827860644612184,0.008299930816529218,0.10843291848374084,0.0037336913971778157
cost,0.4,selective,1,0.8660194174757282,0.0,0.7964285714285714,0.0,0.948936170212766,0.0,0.8375595238095238,0.0,0.9564353234303972,0.0,0.2525,0.0,0.0825,0.0,,0.0,,0.0,0.008849999999999998,0.0,0.0010683,0.0,342.7732652826001,0.0,3.5506670028553344,0.0,0.0,0.0,10940.302458002407,0.0,42364.44175094948,0.0,105.9111043773737,0.0,8859.102667003754,0.0,22.147756667509384,0.0,42710.76568323494,0.0,106.77691420808735,0.0,57948.0,0.0,263.0,0.0,58211.0,0.0,6998.0,0.0,31.0,0.0,7029.0,0.0,33.0,0.0,4.0,0.0,29.0,0.0,0.8787878787878788,0.0,1.0,0.0,0.17,0.0,0.17,0.0,0.4100000000000001,0.0,0.2281822239561854,0.0,0.7564255001576456,0.0,1.0,0.0,0.49857324383366847,0.0,0.11538102539897566,0.0
cost,0.4,selective_no_filter,1,0.862453531598513,0.0,0.8285714285714286,0.0,0.8992248062015504,0.0,0.7125744047619047,0.0,0.9933166248955724,0.0,0.2525,0.0,0.2525,0.0,,0.0,,0.0,0.0270729,0.0,0.004009949999999999,0.0,342.7732652826001,0.0,3.5506670028553344,0.0,0.0,0.0,26941.7822089963,0.0,123546.3338329464,0.0,308.865834582366,0.0,19294.39358500531,0.0,48.235983962513274,0.0,123892.65776523185,0.0,309.7316444130796,0.0,177418.0,0.0,767.0,0.0,178185.0,0.0,26309.0,0.0,106.0,0.0,26415.0,0.0,101.0,0.0,15.0,0.0,86.0,0.0,0.8514851485148515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4100000000000001,0.0,0.2281822239561854,0.0,0.7564255001576456,0.0,1.0,0.0,0.49857324383366847,0.0,0.11538102539897566,0.0
cost,0.6,full_llm,1,0.8239564428312159,0.0,0.8107142857142857,0.0,0.8376383763837638,0.0,0.7220238095238095,0.0,0.9719089390142022,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,0.10730025,0.0,0.073008,0.0,1918.355571450258,0.0,3.522125000017695,0.0,0.0,0.0,239483.66004199488,0.0,356132.3846229934,0.0,890.3309615574835,0.0,238462.4492060102,0.0,596.1561230150255,0.0,358054.2623194437,0.0,895.1356557986093,0.0,703051.0,0.0,3071.0,0.0,706122.0,0.0,478296.0,0.0,2106.0,0.0,480402.0,0.0,400.0,0.0,272.0,0.0,128.0,0.0,0.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4100000000000001,0.0,0.2564322105611924,0.0,0.7228677466422825,0.0,1.0,0.0,0.4985732438336684,0.0,0.1153810253989756,0.0
cost,0.6,no_llm,10,0.843774611122711,0.008294915543698851,0.7371428571428572,0.013489729023062181,0.9867516783306488,0.009455517057917862,0.8956056547619047,0.011110376007606199,0.8760230168609894,0.011670479709585626,0.31275,0.015476236263668544,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1918.3555714502577,2.396728981215028e-13,3.879079101898242,1.158335934040086,1.7874667028081603,0.7007146376068154,1.7874667028081603,0.7007146376068154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.0221172549645,1.5441992718265585,4.810055293137411,0.0038604981795664077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23249999999999998,0.01748014746950253,0.23249999999999998,0.01748014746950253,0.41000000000000003,5.851389114294502e-17,0.25643221056119236,5.851389114294502e-17,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4827860644612184,0.008299930816529206,0.10843291848374077,0.0037336913971778153
cost,0.6,selective,1,0.8692307692307693,0.0,0.8071428571428572,0.0,0.9416666666666668,0.0,0.8206696428571427,0.0,0.9693021663465012,0.0,0.32,0.0,0.0975,0.0,,0.0,,0.0,0.0104601,0.0,0.0104601,0.0,1918.355571450258,0.0,3.522125000017695,0.0,170.84833305852953,0.0,43695.91087500157,0.0,43525.06254194304,0.0,108.8126563548576,0.0,43525.06254194304,0.0,108.8126563548576,0.0,45617.78857145185,0.0,114.04447142862962,0.0,68486.0,0.0,312.0,0.0,68798.0,0.0,68486.0,0.0,312.0,0.0,68798.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2225,0.0,0.2225,0.0,0.4100000000000001,0.0,0.2564322105611924,0.0,0.7228677466422825,0.0,1.0,0.0,0.4985732438336684,0.0,0.1153810253989756,0.0
cost,0.6,selective_no_filter,1,0.8676470588235294,0.0,0.8428571428571429,0.0,0.8939393939393939,0.0,0.6995833333333333,0.0,1.0104427736006685,0.0,0.32,0.0,0.32,0.0,,0.0,,0.0,0.03429225,0.0,0.02383215,0.0,1918.355571450258,0.0,3.522125000017695,0.0,0.0,0.0,74485.8404169936,0.0,117669.9354169832,0.0,294.174838542458,0.0,74144.87287504016,0.0,185.3621821876004,0.0,119591.81311343348,0.0,298.9795327835837,0.0,224755.0,0.0,965.0,0.0,225720.0,0.0,156269.0,0.0,653.0,0.0,156922.0,0.0,128.0,0.0,89.0,0.0,39.0,0.0,0.3046875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4100000000000001,0.0,0.2564322105611924,0.0,0.7228677466422825,0.0,1.0,0.0,0.4985732438336684,0.0,0.1153810253989756,0.0
main,0.2,no_llm,10,0.8770946661719548,0.006331449694112567,0.7927500000000001,0.009464173404544774,0.9816545712871635,0.009194907367947695,0.9064855505952382,0.007406689828481724,0.942160382101559,0.009963062701033924,0.16215000000000002,0.008581472290153177,0.0,0.0,0.07370652173913042,0.15553974742079676,0.01582977100906193,0.0007363397956370961,0.0,0.0,0.0,0.0,774.4673404886846,0.0,3.9676542044617236,0.056666440013105814,1.979104199563153,0.04462422897999734,1.979104199563153,0.04462422897999734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.4140988927095,0.05032364239073867,0.1951035247231773,1.2580910597690274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12785,0.007075191399060055,0.12785,0.007075191399060055,0.41000000000000003,5.851389114294502e-17,0.1735844310189129,0.0,0.8281716020964301,0.0,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.2,selective,10,0.8814630925922421,0.0075584921833747,0.8059285714285714,0.011669338858211082,0.9728105764825598,0.010941369090874231,0.8818955654761904,0.013248518558408877,0.9630941708960039,0.011513906877553881,0.16215000000000002,0.008581472290153177,0.0343,0.005666421563326658,0.0964812030075188,0.2052042439345687,0.02115803559644394,0.0015092143791908459,0.03678142499999999,0.006082954136457883,0.0,0.0,774.4673404886846,0.0,3.9676542044617236,0.056666440013105814,0.0,0.0,26.78716250229627,3.979010602469297,279974.24860293104,126612.87744554698,69.99356215073276,31.65321936138675,0.0,0.0,0.0,0.0,280752.6835976242,126612.88529033981,70.18817089940605,31.653221322584955,240819.1,39827.73300784824,1097.6,181.32549002645308,241916.7,40009.05662485822,0.0,0.0,0.0,0.0,0.0,0.0,137.2,22.665686253306635,0.0,0.0,137.2,22.665686253306635,1.0,0.0,1.0,0.0,0.12785,0.007075191399060055,0.12785,0.007075191399060055,0.41000000000000003,5.851389114294502e-17,0.1735844310189129,0.0,0.8281716020964301,0.0,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,ensemble_only,10,0.8728287195815287,0.0044081057943289054,0.7795714285714286,0.007479753473085903,0.9915212503527954,0.0065756680949729,0.9165297916666667,0.007124102634977125,0.9323125663209169,0.006338268998109857,0.0,0.0,0.0,0.0,0.0681159420289855,0.14360101451972349,0.018113967415615488,0.00036266365895040856,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,1.9613040996773634,0.025286272291223533,1.9613040996773634,0.025286272291223533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.658657187508,0.21964361866206678,0.19516466429687696,5.4910904665518436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,no_llm,10,0.8770946661719548,0.006331449694112567,0.7927500000000001,0.009464173404544774,0.9816545712871635,0.009194907367947695,0.9064855505952382,0.007406689828481724,0.942160382101559,0.009963062701033924,0.307475,0.009096282818333605,0.0,0.0,0.07370652173913042,0.15553974742079676,0.01582977100906193,0.0007363397956370961,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,1.9894957000360591,0.09958187673328936,1.9894957000360591,0.09958187673328936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.6868487878667,0.1882346334251154,0.1951717121969666,4.705865835626303e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24532500000000002,0.009233882354315175,0.24532500000000002,0.009233882354315175,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,selective,10,0.8834825241909018,0.007275968455273661,0.8206785714285714,0.01196111661416258,0.9569013187543985,0.011275744575354706,0.8537445238095238,0.014224213928201314,0.9807119151832466,0.010982704227980509,0.307475,0.009096282818333605,0.06215,0.007541735727123946,0.1757572025398112,0.19196518094190584,0.02537704354539453,0.0013864912953616751,0.06665600999999997,0.008090987189521448,0.0030295649999999797,0.0013728319005799734,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,0.0,0.0,19578.595854100422,9085.542019951687,489058.5892290201,221080.29703116845,122.26464730725502,55.27007425779211,13736.10586219911,6576.974110700329,3.4340264655497776,1.6442435276750822,489837.28658210783,221080.19945395947,122.45932164552698,55.27004986348985,436426.2,52974.07601165771,1986.8,241.46396096404212,438413.0,53215.53559921305,19843.1,8989.653354458855,88.5,40.661884964778615,19931.6,9030.292885615616,248.6,30.16694290849579,11.3,5.121848624601603,237.3,27.588443635374254,0.9552468831595815,0.017305545565160386,1.0,0.0,0.24532500000000002,0.009233882354315175,0.24532500000000002,0.009233882354315175,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,selective_no_filter,10,0.8728271090565756,0.005438896953218757,0.8709999999999999,0.008597513219535675,0.8747676619170874,0.009348107961090679,0.690677931547619,0.01208665218923908,1.039795163512667,0.010461656053793294,0.307475,0.009096282818333605,0.307475,0.009096282818333605,0.38572736683606246,0.20292029178594984,0.05958708125313711,0.0017770734136924248,0.32921791499999997,0.009769223346932452,0.07654433999999996,0.005611085264545538,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,0.0,0.0,508136.8801999997,61817.52870232169,2246488.320286184,958226.2065242848,561.6220800715461,239.5565516310712,361820.110622299,54357.802017783135,90.45502765557475,13.58945050444578,2247267.0176392724,958226.0841908953,561.816754409818,239.5565210477238,2157538.1,63998.50996260252,9312.0,283.08930667822045,2166850.1,64280.912438124105,502142.8,36807.42516516048,2038.2,150.02059117927038,504181.0,36957.37681888872,1229.9,36.38513127333441,286.5,21.030401274768337,943.4,45.57582205024453,0.7667706154019338,0.01974753735466854,1.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.4,selective_no_graph,10,0.883563848862598,0.007211287047125149,0.8207857142857142,0.011940185392651327,0.9569470742606938,0.011236641979848281,0.8539274851190475,0.013997413136303009,0.9808401819991097,0.010972977492985756,0.307475,0.009096282818333605,0.06215,0.007541735727123946,0.1757572025398112,0.19196518094190584,0.025355717205903024,0.0013703281406265055,0.06663685499999997,0.008085595735643101,0.00236515499999996,0.0011162588768963868,774.4673404886846,0.0,4.230012599145994,0.2146863372568802,0.0,0.0,15482.884316699347,6842.010779573452,597129.83393364,88863.84516772315,149.28245848341004,22.215961291930785,10894.250499300688,5023.817058714593,2.723562624825172,1.2559542646786481,597908.531286728,88863.83123504413,149.47713282168198,22.215957808761026,436297.7,52937.11690938389,1987.0,241.71838527049982,438284.7,53178.83051041604,15491.7,7309.838181063473,69.0,32.99831645537222,15560.7,7342.809741509037,248.6,30.16694290849579,8.8,4.157990967870047,239.8,28.677517326295874,0.9649194232937394,0.014690907306047362,1.0,0.0,0.24532500000000002,0.009233882354315175,0.24532500000000002,0.009233882354315175,0.41000000000000003,5.851389114294502e-17,0.2281822239561854,0.0,0.7564255001576455,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
main,0.6,ensemble_only,10,0.8728287195815287,0.0044081057943289054,0.7795714285714286,0.007479753473085903,0.9915212503527954,0.0065756680949729,0.9165297916666667,0.007124102634977125,0.9323125663209169,0.006338268998109857,0.0,0.0,0.0,0.0,0.0681159420289855,0.14360101451972349,0.018113967415615488,0.00036266365895040856,0.0,0.0,0.0,0.0,774.4673404886846,0.0,4.082587503944524,0.2140586804300184,2.0865583966951817,0.039759822611191466,2.0865583966951817,0.039759822611191466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.6364863893243,0.2105094681754218,0.19515912159733104,5.262736704386619e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,5.851389114294502e-17,0.2564322105611923,0.0,0.7228677466422824,1.1702778228589004e-16,1.0,0.0,0.4447686813485035,0.006360547151083082,0.09464753277526648,0.002666368334438281
